title,imdb_id,year,rating,vote_count,duration_min,genres,plot,url
Toy Story 3,tt0435761,2010,8.3,967000,,,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",https://www.imdb.com/title/tt0435761/?ref_=sr_t_121
Once Upon a Time in America,tt0087843,1984,8.3,408000,,,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",https://www.imdb.com/title/tt0087843/?ref_=sr_t_122
Up,tt1049413,2009,8.3,1200000,,,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",https://www.imdb.com/title/tt1049413/?ref_=sr_t_123
Chainsaw Man - The Movie: Reze Arc,tt30472557,2025,8.3,52000,,,"A direct sequel to the first season of the series ""Chainsaw Man"", featuring Denji, a young man who co-exists with a chainsaw demon. Denji encounters a new romantic interest, but will his involvement place them both in danger?",https://www.imdb.com/title/tt30472557/?ref_=sr_t_124
Lawrence of Arabia,tt0056172,1962,8.3,341000,,,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://www.imdb.com/title/tt0056172/?ref_=sr_t_125
Princess Mononoke,tt0119698,1997,8.3,482000,,,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",https://www.imdb.com/title/tt0119698/?ref_=sr_t_126
Hamilton,tt8503618,2020,8.3,138000,,,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://www.imdb.com/title/tt8503618/?ref_=sr_t_127
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1964,8.3,550000,,,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",https://www.imdb.com/title/tt0057012/?ref_=sr_t_128
Star Wars: Episode VI - Return of the Jedi,tt0086190,1983,8.3,1200000,,,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",https://www.imdb.com/title/tt0086190/?ref_=sr_t_129
A Separation,tt1832382,2011,8.3,277000,,,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,https://www.imdb.com/title/tt1832382/?ref_=sr_t_130
Das Boot,tt0082096,1981,8.3,287000,,,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,https://www.imdb.com/title/tt0082096/?ref_=sr_t_131
Dangal,tt5074352,2016,8.3,242000,,,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",https://www.imdb.com/title/tt5074352/?ref_=sr_t_132
North by Northwest,tt0053125,1959,8.3,369000,,,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",https://www.imdb.com/title/tt0053125/?ref_=sr_t_133
The Apartment,tt0053604,1960,8.3,219000,,,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/?ref_=sr_t_134
Judgment at Nuremberg,tt0055031,1961,8.3,97000,,,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",https://www.imdb.com/title/tt0055031/?ref_=sr_t_135
Singin' in the Rain,tt0045152,1952,8.3,282000,,,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,https://www.imdb.com/title/tt0045152/?ref_=sr_t_136
Maharaja,tt26548265,2024,8.3,81000,,,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",https://www.imdb.com/title/tt26548265/?ref_=sr_t_137
Like Stars on Earth,tt0986264,2007,8.3,231000,,,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,https://www.imdb.com/title/tt0986264/?ref_=sr_t_138
M,tt0022100,1931,8.3,182000,,,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://www.imdb.com/title/tt0022100/?ref_=sr_t_139
Double Indemnity,tt0036775,1944,8.3,181000,,,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",https://www.imdb.com/title/tt0036775/?ref_=sr_t_140
Laapataa Ladies,tt21626284,2023,8.3,59000,,,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",https://www.imdb.com/title/tt21626284/?ref_=sr_t_141
Ikiru,tt0044741,1952,8.3,102000,,,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,https://www.imdb.com/title/tt0044741/?ref_=sr_t_142
Ratsasan,tt7060344,2018,8.3,59000,,,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,https://www.imdb.com/title/tt7060344/?ref_=sr_t_143
Sardar Udham,tt10280296,2021,8.3,51000,,,Punjabi Sikh revolutionary Udham Singh spends two decades planning the assassination of the man responsible for the Jallianwala Bagh massacre.,https://www.imdb.com/title/tt10280296/?ref_=sr_t_144
Shershaah,tt10295212,2021,8.3,136000,,,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",https://www.imdb.com/title/tt10295212/?ref_=sr_t_145
Vikram,tt9179430,2022,8.3,89000,,,A covert investigation changes its course when special officer Amar encounters an unrelenting Vikram and his pursuit to take down a notorious drug cartel.,https://www.imdb.com/title/tt9179430/?ref_=sr_t_146
Premam,tt4679210,2015,8.3,28000,,,A young man has three opportunities to find love. Will the third time be the charm?,https://www.imdb.com/title/tt4679210/?ref_=sr_t_147
Chhichhore,tt9052870,2019,8.3,72000,,,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",https://www.imdb.com/title/tt9052870/?ref_=sr_t_148
Bangalore Days,tt3668162,2014,8.3,28000,,,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",https://www.imdb.com/title/tt3668162/?ref_=sr_t_149
Oppenheimer,tt15398776,2023,8.2,1000000,,,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",https://www.imdb.com/title/tt15398776/?ref_=sr_t_150
The Wolf of Wall Street,tt0993846,2013,8.2,1800000,,,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",https://www.imdb.com/title/tt0993846/?ref_=sr_t_151
Prisoners,tt1392214,2013,8.2,930000,,,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,https://www.imdb.com/title/tt1392214/?ref_=sr_t_152
No Country for Old Men,tt0477348,2007,8.2,1200000,,,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,https://www.imdb.com/title/tt0477348/?ref_=sr_t_153
Shutter Island,tt1130884,2010,8.2,1600000,,,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,https://www.imdb.com/title/tt1130884/?ref_=sr_t_154
Jurassic Park,tt0107290,1993,8.2,1200000,,,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",https://www.imdb.com/title/tt0107290/?ref_=sr_t_155
Top Gun: Maverick,tt1745960,2022,8.2,854000,,,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",https://www.imdb.com/title/tt1745960/?ref_=sr_t_156
There Will Be Blood,tt0469494,2007,8.2,706000,,,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",https://www.imdb.com/title/tt0469494/?ref_=sr_t_157
Kill Bill: Vol. 1,tt0266697,2003,8.2,1300000,,,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://www.imdb.com/title/tt0266697/?ref_=sr_t_158
The Truman Show,tt0120382,1998,8.2,1400000,,,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,https://www.imdb.com/title/tt0120382/?ref_=sr_t_159
L.A. Confidential,tt0119488,1997,8.2,658000,,,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://www.imdb.com/title/tt0119488/?ref_=sr_t_160
Casino,tt0112641,1995,8.2,617000,,,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",https://www.imdb.com/title/tt0112641/?ref_=sr_t_161
Batman Begins,tt0372784,2005,8.2,1700000,,,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",https://www.imdb.com/title/tt0372784/?ref_=sr_t_162
The Sixth Sense,tt0167404,1999,8.2,1100000,,,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",https://www.imdb.com/title/tt0167404/?ref_=sr_t_163
Green Book,tt6966692,2018,8.2,681000,,,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,https://www.imdb.com/title/tt6966692/?ref_=sr_t_164
Snatch,tt0208092,2000,8.2,975000,,,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://www.imdb.com/title/tt0208092/?ref_=sr_t_165
Taxi Driver,tt0075314,1976,8.2,1000000,,,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",https://www.imdb.com/title/tt0075314/?ref_=sr_t_166
1917,tt8579674,2019,8.2,768000,,,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://www.imdb.com/title/tt8579674/?ref_=sr_t_167
The Wild Robot,tt29623480,2024,8.2,220000,,,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.,https://www.imdb.com/title/tt29623480/?ref_=sr_t_168
Some Like It Hot,tt0053291,1959,8.2,304000,,,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",https://www.imdb.com/title/tt0053291/?ref_=sr_t_169
The Thing,tt0084787,1982,8.2,524000,,,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,https://www.imdb.com/title/tt0084787/?ref_=sr_t_170
Full Metal Jacket,tt0093058,1987,8.2,849000,,,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,https://www.imdb.com/title/tt0093058/?ref_=sr_t_171
A Beautiful Mind,tt0268978,2001,8.2,1100000,,,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But Nash soon found himself on a harrowing journey of self-discovery.",https://www.imdb.com/title/tt0268978/?ref_=sr_t_172
A Clockwork Orange,tt0066921,1971,8.2,935000,,,Alex DeLarge and his droogs barbarize a decaying near-future.,https://www.imdb.com/title/tt0066921/?ref_=sr_t_173
Howl's Moving Castle,tt0347149,2004,8.2,510000,,,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",https://www.imdb.com/title/tt0347149/?ref_=sr_t_174
Finding Nemo,tt0266543,2003,8.2,1200000,,,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://www.imdb.com/title/tt0266543/?ref_=sr_t_175
Pan's Labyrinth,tt0457430,2006,8.2,745000,,,"In 1944 Francoist Spain, an imaginative young girl meets a faun who tells her she's a princess and that she must prove her worthiness by completing three dangerous tasks.",https://www.imdb.com/title/tt0457430/?ref_=sr_t_176
Unforgiven,tt0105695,1992,8.2,468000,,,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",https://www.imdb.com/title/tt0105695/?ref_=sr_t_177
Die Hard,tt0095016,1988,8.2,1000000,,,A New York City cop tries to save his wife and several others taken hostage by terrorists during a Christmas party in a Los Angeles skyscraper.,https://www.imdb.com/title/tt0095016/?ref_=sr_t_178
Downfall,tt0363163,2004,8.2,400000,,,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",https://www.imdb.com/title/tt0363163/?ref_=sr_t_179
Indiana Jones and the Last Crusade,tt0097576,1989,8.2,862000,,,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",https://www.imdb.com/title/tt0097576/?ref_=sr_t_180
The Father,tt10272386,2020,8.2,243000,,,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",https://www.imdb.com/title/tt10272386/?ref_=sr_t_181
Gone with the Wind,tt0031381,1939,8.2,356000,,,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,https://www.imdb.com/title/tt0031381/?ref_=sr_t_182
Monty Python and the Holy Grail,tt0071853,1975,8.2,602000,,,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",https://www.imdb.com/title/tt0071853/?ref_=sr_t_183
The Secret in Their Eyes,tt1305806,2009,8.2,241000,,,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior--both of which still haunt him decades later.,https://www.imdb.com/title/tt1305806/?ref_=sr_t_184
The Elephant Man,tt0080678,1980,8.2,282000,,,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",https://www.imdb.com/title/tt0080678/?ref_=sr_t_185
A Silent Voice: The Movie,tt5323662,2016,8.2,140000,,,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.",https://www.imdb.com/title/tt5323662/?ref_=sr_t_186
Vertigo,tt0052357,1958,8.2,458000,,,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",https://www.imdb.com/title/tt0052357/?ref_=sr_t_187
The Great Escape,tt0057115,1963,8.2,277000,,,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.,https://www.imdb.com/title/tt0057115/?ref_=sr_t_188
To Kill a Mockingbird,tt0056592,1962,8.2,351000,,,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,https://www.imdb.com/title/tt0056592/?ref_=sr_t_189
The Sting,tt0070735,1973,8.2,300000,,,Two grifters team up to pull off the ultimate con.,https://www.imdb.com/title/tt0070735/?ref_=sr_t_190
Citizen Kane,tt0033467,1941,8.2,493000,,,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",https://www.imdb.com/title/tt0033467/?ref_=sr_t_191
Ran,tt0089881,1985,8.2,151000,,,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",https://www.imdb.com/title/tt0089881/?ref_=sr_t_192
All About Eve,tt0042192,1950,8.2,149000,,,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,https://www.imdb.com/title/tt0042192/?ref_=sr_t_193
Metropolis,tt0017136,1927,8.2,201000,,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",https://www.imdb.com/title/tt0017136/?ref_=sr_t_194
Tumbbad,tt8239946,2018,8.2,75000,,,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,https://www.imdb.com/title/tt8239946/?ref_=sr_t_195
Uri: The Surgical Strike,tt8291224,2019,8.2,83000,,,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",https://www.imdb.com/title/tt8291224/?ref_=sr_t_196
For a Few Dollars More,tt0059578,1965,8.2,299000,,,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,https://www.imdb.com/title/tt0059578/?ref_=sr_t_197
Klaus,tt4729430,2019,8.2,235000,,,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",https://www.imdb.com/title/tt4729430/?ref_=sr_t_198
Gangs of Wasseypur,tt1954470,2012,8.2,114000,,,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",https://www.imdb.com/title/tt1954470/?ref_=sr_t_199
Children of Heaven,tt0118849,1997,8.2,90000,,,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",https://www.imdb.com/title/tt0118849/?ref_=sr_t_200
Bicycle Thieves,tt0040522,1948,8.2,192000,,,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",https://www.imdb.com/title/tt0040522/?ref_=sr_t_201
Yojimbo,tt0055630,1961,8.2,143000,,,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,https://www.imdb.com/title/tt0055630/?ref_=sr_t_202
Drishyam,tt4430212,2015,8.2,108000,,,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",https://www.imdb.com/title/tt4430212/?ref_=sr_t_203
K.G.F: Chapter 2,tt10698680,2022,8.2,169000,,,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",https://www.imdb.com/title/tt10698680/?ref_=sr_t_204
The Treasure of the Sierra Madre,tt0040897,1948,8.2,141000,,,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,https://www.imdb.com/title/tt0040897/?ref_=sr_t_205
Andhadhun,tt8108198,2018,8.2,116000,,,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",https://www.imdb.com/title/tt8108198/?ref_=sr_t_206
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,tt11032374,2020,8.2,100000,,,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",https://www.imdb.com/title/tt11032374/?ref_=sr_t_207
Miracle in Cell No. 7,tt10431500,2019,8.2,62000,,,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,https://www.imdb.com/title/tt10431500/?ref_=sr_t_208
Baahubali 2: The Conclusion,tt4849438,2017,8.2,133000,,,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",https://www.imdb.com/title/tt4849438/?ref_=sr_t_209
The Kid,tt0012349,1921,8.2,145000,,,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",https://www.imdb.com/title/tt0012349/?ref_=sr_t_210
My Father and My Son,tt0476735,2005,8.2,101000,,,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,https://www.imdb.com/title/tt0476735/?ref_=sr_t_211
K.G.F: Chapter 1,tt7838252,2018,8.2,111000,,,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.",https://www.imdb.com/title/tt7838252/?ref_=sr_t_212
Ayla,tt6316138,2017,8.2,48000,,,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind.",https://www.imdb.com/title/tt6316138/?ref_=sr_t_213
Close-Up,tt0100234,1990,8.2,27000,,,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",https://www.imdb.com/title/tt0100234/?ref_=sr_t_214
Bhaag Milkha Bhaag,tt2356180,2013,8.2,79000,,,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",https://www.imdb.com/title/tt2356180/?ref_=sr_t_215
"Swades: We, the People",tt0367110,2004,8.2,106000,,,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,https://www.imdb.com/title/tt0367110/?ref_=sr_t_216
Zindagi Na Milegi Dobara,tt1562872,2011,8.2,95000,,,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,https://www.imdb.com/title/tt1562872/?ref_=sr_t_217
Pather Panchali,tt0048473,1955,8.2,41000,,,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",https://www.imdb.com/title/tt0048473/?ref_=sr_t_218
Rangasthalam,tt7392212,2018,8.2,31000,,,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,https://www.imdb.com/title/tt7392212/?ref_=sr_t_219
Manjummel Boys,tt26458038,2024,8.2,33000,,,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",https://www.imdb.com/title/tt26458038/?ref_=sr_t_220
Dersu Uzala,tt0071411,1975,8.2,36000,,,An explorer is sent on an expedition to the snowy Siberian wilderness and makes friends with a seasoned local hunter.,https://www.imdb.com/title/tt0071411/?ref_=sr_t_221
Drishyam 2,tt15501640,2022,8.2,52000,,,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,https://www.imdb.com/title/tt15501640/?ref_=sr_t_222
Munna Bhai M.B.B.S.,tt0374887,2003,8.2,98000,,,A gangster sets out to fulfill his father's dream of becoming a doctor.,https://www.imdb.com/title/tt0374887/?ref_=sr_t_223
Hera Pheri,tt0242519,2000,8.2,80000,,,"Two tenants and a landlord look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",https://www.imdb.com/title/tt0242519/?ref_=sr_t_224
Vikram Vedha,tt6148156,2017,8.2,55000,,,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",https://www.imdb.com/title/tt6148156/?ref_=sr_t_225
Paan Singh Tomar,tt1620933,2012,8.2,40000,,,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared criminals in Chambal Valley after his retirement.",https://www.imdb.com/title/tt1620933/?ref_=sr_t_226
Khosla Ka Ghosla!,tt0466460,2006,8.2,27000,,,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,https://www.imdb.com/title/tt0466460/?ref_=sr_t_227
Spider-Man: No Way Home,tt10872600,2021,8.1,1000000,,,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",https://www.imdb.com/title/tt10872600/?ref_=sr_t_228
Ben-Hur,tt0052618,1959,8.1,271000,,,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",https://www.imdb.com/title/tt0052618/?ref_=sr_t_229
Gone Girl,tt2267998,2014,8.1,1200000,,,The husband of a missing woman becomes the main suspect in her disappearance.,https://www.imdb.com/title/tt2267998/?ref_=sr_t_230
The Grand Budapest Hotel,tt2278388,2014,8.1,967000,,,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",https://www.imdb.com/title/tt2278388/?ref_=sr_t_231
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,2003,8.1,1300000,,,An intrepid blacksmith teams up with an eccentric pirate captain to save his love from an undead pirate crew.,https://www.imdb.com/title/tt0325980/?ref_=sr_t_232
Catch Me If You Can,tt0264464,2002,8.1,1200000,,,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",https://www.imdb.com/title/tt0264464/?ref_=sr_t_233
Stand by Me,tt0092005,1986,8.1,486000,,,A writer recounts a childhood journey with his friends to find the body of a missing boy.,https://www.imdb.com/title/tt0092005/?ref_=sr_t_234
Fargo,tt0116282,1996,8.1,786000,,,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,https://www.imdb.com/title/tt0116282/?ref_=sr_t_235
The Handmaiden,tt4016934,2016,8.1,202000,,,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",https://www.imdb.com/title/tt4016934/?ref_=sr_t_236
Dead Poets Society,tt0097165,1989,8.1,648000,,,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",https://www.imdb.com/title/tt0097165/?ref_=sr_t_237
The Big Lebowski,tt0118715,1998,8.1,915000,,,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",https://www.imdb.com/title/tt0118715/?ref_=sr_t_238
Hacksaw Ridge,tt2119532,2016,8.1,678000,,,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",https://www.imdb.com/title/tt2119532/?ref_=sr_t_239
"Three Billboards Outside Ebbing, Missouri",tt5027774,2017,8.1,605000,,,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,https://www.imdb.com/title/tt5027774/?ref_=sr_t_240
Harry Potter and the Deathly Hallows: Part 2,tt1201607,2011,8.1,1000000,,,"Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his army.",https://www.imdb.com/title/tt1201607/?ref_=sr_t_241
Warrior,tt1291584,2011,8.1,528000,,,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",https://www.imdb.com/title/tt1291584/?ref_=sr_t_242
