title,imdb_id,year,rating,vote_count,duration_min,genres,plot,url
Jai Bhim,tt15097216,2021,8.6,234000,,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://www.imdb.com/title/tt15097216/?ref_=sr_t_36
Soorarai Pottru,tt10189514,2020,8.6,132000,,,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks",https://www.imdb.com/title/tt10189514/?ref_=sr_t_37
Rocketry: The Nambi Effect,tt9263550,2022,8.6,62000,,,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",https://www.imdb.com/title/tt9263550/?ref_=sr_t_38
Nayakan,tt0093603,1987,8.6,28000,,,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",https://www.imdb.com/title/tt0093603/?ref_=sr_t_39
Anbe Sivam,tt0367495,2003,8.6,28000,,,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",https://www.imdb.com/title/tt0367495/?ref_=sr_t_40
Dhurandhar The Revenge,tt39139925,2026,8.5,42000,,,"Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title ""Sher-e-Baloch"" while balancing loyalty, betrayal, and survival in a ruthless underworld.",https://www.imdb.com/title/tt39139925/?ref_=sr_t_41
The Prestige,tt0482571,2006,8.5,1600000,,,"Two friends and fellow magicians become bitter enemies after a sudden tragedy. As they devote themselves to this rivalry, they make sacrifices that bring them fame but, with terrible consequences.",https://www.imdb.com/title/tt0482571/?ref_=sr_t_42
The Departed,tt0407887,2006,8.5,1500000,,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/?ref_=sr_t_43
Parasite,tt6751668,2019,8.5,1200000,,,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://www.imdb.com/title/tt6751668/?ref_=sr_t_44
Whiplash,tt2582802,2014,8.5,1100000,,,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,https://www.imdb.com/title/tt2582802/?ref_=sr_t_45
Gladiator,tt0172495,2000,8.5,1800000,,,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://www.imdb.com/title/tt0172495/?ref_=sr_t_46
Django Unchained,tt1853728,2012,8.5,1900000,,,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",https://www.imdb.com/title/tt1853728/?ref_=sr_t_47
Alien,tt0078748,1979,8.5,1100000,,,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",https://www.imdb.com/title/tt0078748/?ref_=sr_t_48
Spider-Man: Across the Spider-Verse,tt9362722,2023,8.5,518000,,,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",https://www.imdb.com/title/tt9362722/?ref_=sr_t_49
Back to the Future,tt0088763,1985,8.5,1400000,,,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://www.imdb.com/title/tt0088763/?ref_=sr_t_50
The Usual Suspects,tt0114814,1995,8.5,1200000,,,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,https://www.imdb.com/title/tt0114814/?ref_=sr_t_51
Leon,tt0110413,1994,8.5,1300000,,,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge.",https://www.imdb.com/title/tt0110413/?ref_=sr_t_52
Once Upon a Time in the West,tt0064116,1968,8.5,383000,,,A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.,https://www.imdb.com/title/tt0064116/?ref_=sr_t_53
The Pianist,tt0253474,2002,8.5,1000000,,,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",https://www.imdb.com/title/tt0253474/?ref_=sr_t_54
Untouchable,tt1675434,2011,8.5,1000000,,,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",https://www.imdb.com/title/tt1675434/?ref_=sr_t_55
The Lion King,tt0110357,1994,8.5,1300000,,,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://www.imdb.com/title/tt0110357/?ref_=sr_t_56
American History X,tt0120586,1998,8.5,1300000,,,A white supremacist is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.,https://www.imdb.com/title/tt0120586/?ref_=sr_t_57
Grave of the Fireflies,tt0095327,1988,8.5,383000,,,A young boy and his little sister struggle to survive in Japan during World War II.,https://www.imdb.com/title/tt0095327/?ref_=sr_t_58
Psycho,tt0054215,1960,8.5,783000,,,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/?ref_=sr_t_59
Casablanca,tt0034583,1942,8.5,654000,,,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,https://www.imdb.com/title/tt0034583/?ref_=sr_t_60
Cinema Paradiso,tt0095765,1988,8.5,317000,,,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",https://www.imdb.com/title/tt0095765/?ref_=sr_t_61
Rear Window,tt0047396,1954,8.5,568000,,,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,https://www.imdb.com/title/tt0047396/?ref_=sr_t_62
Mahavatar Narsimha,tt34365591,2024,8.5,47000,,,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.,https://www.imdb.com/title/tt34365591/?ref_=sr_t_63
Modern Times,tt0027977,1936,8.5,285000,,,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://www.imdb.com/title/tt0027977/?ref_=sr_t_64
City Lights,tt0021749,1931,8.5,216000,,,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a blind flower girl accumulates money to be able to help her medically.",https://www.imdb.com/title/tt0021749/?ref_=sr_t_65
